pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
strong,51,berniesanders,33,link,56
dioxide,51,something,33,harvey,56
forest,50,enough,33,problems,55
history,50,part,33,drop,55
importance,50,entire,33,dead,55
mention,50,ocean,33,green,55
economy,50,crack,33,media,55
bill,50,matter,33,increase,55
accord,50,uk,33,cancel,54
primary,50,leonardo,32,countries,54
renewable,49,natgeochannel,32,doubt,54
gop,49,thing,32,tackle,54
yeah,49,story,32,economy,54
comprehensive,49,farmers,32,force,54
post,49,youre,32,spend,54
risk,49,position,32,security,54
greatest,49,country,32,hear,54
cnn,49,actually,32,view,54
life,48,anemones,32,washington,54
kid,48,hold,32,avoid,53
mitigate,48,documentary,31,tweet,53
india,48,week,31,threats,53
hand,48,theres,31,build,53
extreme,48,daily,31,hard,53
drive,47,word,31,website,53
economic,47,events,31,stevesgoddard,53
polar,47,security,31,fact,53
answer,47,another,31,federal,53
open,47,accord,31,old,53
ignore,47,theyre,31,worsen,52
move,47,hurricane,31,name,52
threat,47,industry,30,actually,52
country,47,expect,30,since,52
expect,47,job,30,matter,52
policies,47,move,30,million,52
opportunity,47,leadership,30,limit,51
force,46,since,30,high,51
course,46,reveal,30,uk,51
experts,46,denier,30,republicans,51
word,46,answer,30,agree,51
anyone,46,opinion,30,concern,51
department,46,pick,30,emissions,51
nations,45,power,30,office,51
adapt,45,h,30,order,51
republicans,45,melt,30,challenge,51
link,45,nobody,30,natural,50
americans,45,write,30,everyone,50
serious,45,book,30,create,50
barrier,45,dioxide,30,heat,50
ways,44,contribute,29,never,50
stand,44,ways,29,sad,50
cost,44,shift,29,turn,50
key,44,winter,29,accord,50
enjoy,44,race,29,support,50
hit,44,local,29,history,50
storm,44,sanders,29,bill,49
guardian,44,build,29,ocean,49
facts,44,role,29,devastate,49
gt,44,hot,29,join,49
place,43,curb,29,millions,49
bear,43,exist,29,economic,49
gas,43,two,29,raise,48
pretty,43,obamas,29,lot,48
view,43,mind,28,power,48
environmental,43,dicaprio,28,resources,48
urge,43,oceans,28,storm,48
lecture,43,model,28,life,47
america,43,budget,28,hot,47
parisagreement,42,indigenous,28,enough,47
potus,42,follow,28,nasa,47
yet,42,governments,28,reason,46
matter,42,stay,28,tree,46
truth,42,blog,28,team,46
focus,42,secretary,28,whats,46
reality,42,ht,28,explain,46
whether,42,lot,28,maybe,46
resources,42,london,28,prove,46
week,41,arent,27,ht,46
huge,41,speech,27,nature,46
trade,41,harvey,27,push,46
pay,41,economic,27,children,46
ddlovato,41,campaign,27,alarm,46
ivotedbecause,41,send,27,gt,45
innovation,41,ahead,27,gon,45
uk,41,africa,27,wait,45
climatereality,40,contributor,27,inaction,45
raise,40,john,27,course,45
write,40,gop,27,death,45
warn,40,hear,27,skeptic,45
coral,40,tax,27,irma,45
book,40,ceo,27,feel,44
break,40,india,27,oh,44
pope,40,pacific,27,run,44
little,39,davos,27,reef,44
nice,39,leader,26,sit,44
joke,39,together,26,something,44
leader,39,washington,26,congress,44
wait,39,reuters,26,remember,44
ive,39,instead,26,failure,44
cooperation,39,anyone,26,didnt,43
speak,39,actonclimate,26,pledge,43
melt,39,maybe,26,washingtonpost,43
biggest,39,front,26,political,43
include,39,approach,26,gun,43
invent,39,ever,26,demand,43
film,38,air,26,speak,43
send,38,wef,26,potus,43
election,38,hillary,25,away,43
spend,38,increase,25,longer,43
prove,38,explore,25,key,43
always,38,raise,25,instead,42
two,38,bernie,25,pact,42
far,38,abc,25,hurt,42
ocean,38,long,25,scary,42
problem,38,republicans,25,place,42
land,38,release,25,florida,42
arent,38,court,25,age,42
ago,38,whether,25,far,42
washingtonpost,38,rule,25,reduce,42
conference,38,days,25,discuss,42
set,38,independent,25,miss,41
adaptation,38,accelerate,25,story,41
city,38,gon,25,wonder,41
whats,37,respond,25,step,41
age,37,mayor,25,tillerson,41
curb,37,charles,25,hurricanes,41
convince,37,divest,25,terrify,40
wall,37,film,24,exist,40
justice,37,predict,24,contribute,40
chance,37,late,24,might,40
white,37,reverse,24,india,40
maybe,37,tree,24,greenpeace,39
women,37,source,24,gas,39
improve,37,behind,24,exit,39
surprise,36,migration,24,role,39
h,36,wait,24,industry,39
november,36,billion,24,contradict,39
prepare,36,international,24,hunger,39
hillary,36,group,24,decades,39
independent,36,press,24,bring,39
progress,36,high,24,fraud,39
together,36,serious,24,budget,39
name,36,aim,24,prevent,38
do,36,activity,24,envdefensefund,38
survive,36,whats,24,argue,38
dear,36,id,24,yes,38
social,36,agency,24,opinion,38
control,36,official,24,military,38
r,36,gt,24,anyone,38
long,36,message,24,rule,38
worth,36,bbc,24,trouble,38
secretary,36,climatereality,24,protest,37
industry,36,step,24,agenda,37
sue,36,despite,24,r,37
california,36,minister,24,auspol,37
special,35,economy,23,anything,37
ready,35,personally,23,someone,37
minister,35,guardianeco,23,racist,37
message,35,feel,23,pose,37
line,35,save,23,contributor,37
guess,35,clinton,23,solve,36
international,35,north,23,whole,36
remember,35,publish,23,probably,36
story,35,mine,23,brown,36
denier,35,project,23,production,36
enough,35,lie,23,extinction,36
american,35,degrees,23,home,36
amaze,34,agenda,23,sanders,36
inspire,34,away,23,conference,36
glad,34,acknowledge,23,hold,36
reverse,34,department,23,pm,36
powerful,34,scrub,23,hottest,36
speech,34,everyone,22,urge,36
park,34,always,22,hurricane,36
eat,33,popsci,22,h,35
indigenous,33,buy,22,disappear,35
despite,33,care,22,reuters,35
check,33,hillaryclinton,22,two,35
happy,33,protect,22,mind,35
nature,33,cold,22,republican,35
away,33,network,22,american,35
hold,33,evolution,22,hope,35
exxon,33,stake,22,despite,35
welcome,33,land,22,forest,35
