neu_words,neu_counts,pos_words,pos_counts,neg_words,neg_counts
macron,33,heat,35,suppose,10
businesses,32,respond,35,tower,10
west,32,easy,35,syria,10
catholic,32,goal,35,obviously,10
december,32,ten,35,agencies,10
appreciate,32,greater,35,guess,10
block,32,within,35,model,10
process,32,possible,35,tyrants,10
ready,32,link,35,settle,9
rubio,32,please,35,trip,9
specific,32,east,35,russian,9
brief,32,frankly,35,aggression,9
europe,32,degree,35,germany,9
page,32,merkel,35,reporters,9
demand,32,mark,35,wildfires,9
represent,32,reaction,35,temperature,9
current,32,bret,35,plant,9
oklahoma,32,largest,34,rain,9
simple,32,kill,34,decline,9
hundreds,32,strategy,34,million,9
era,32,appreciate,34,close,9
relationship,32,document,34,melt,9
lie,32,defend,34,disappear,9
greg,32,debt,34,beyond,9
urgent,31,website,34,impossible,9
strategy,31,connect,34,project,9
drought,31,travel,34,agreements,9
value,31,citizens,34,finance,9
host,31,experience,34,whole,9
church,31,nominee,34,mission,9
worse,31,oh,34,save,9
deliver,31,nobody,34,current,9
regulation,31,represent,34,due,9
sell,31,doubt,34,federal,9
perspective,31,choose,34,vulnerable,9
conservatives,31,fracking,34,fix,9
describe,31,vatican,33,goal,9
third,31,food,33,greenhouse,9
manufacture,31,ocean,33,globe,9
bad,31,argue,33,degree,9
solution,31,opinion,33,corrupt,9
peace,31,target,33,follow,9
hop,31,discussions,33,occur,9
quite,31,rally,33,denial,9
account,31,melt,33,great,9
website,31,law,33,service,9
outside,31,subject,33,trail,9
gather,31,massive,33,protection,9
potential,31,ban,33,golf,9
picture,31,immediate,33,reaction,9
soon,31,dicaprio,33,far,9
short,31,simple,33,bully,9
obamacare,31,angela,33,sometimes,9
fall,31,tuition,32,dicaprio,9
sue,31,center,32,pronounce,9
must,30,convince,32,market,9
correspondent,30,stake,32,road,9
touch,30,historic,32,imagine,9
official,30,chief,32,expensive,9
draft,30,democrat,32,ivanka,9
kind,30,beautiful,32,delegation,9
choose,30,obamacare,32,tillerson,9
burn,30,months,32,insane,9
amount,30,third,32,factor,9
century,30,favor,32,post,9
moments,30,force,32,sad,9
miss,30,ally,32,louisiana,9
girl,30,progressive,32,environmentalists,9
measure,30,friday,32,remark,9
panel,30,peace,32,generation,9
occur,30,suppose,32,clear,9
elect,30,month,32,standards,9
serve,30,alone,32,page,9
alone,30,trail,32,europeans,9
cabinet,30,billions,32,important,9
cold,30,tucker,32,absurd,9
melt,29,describe,31,battle,9
twitter,29,crowd,31,stronger,9
ten,29,ambitious,31,phrase,9
