pos_words,pos_counts,neg_words,neg_counts,neu_words,neu_counts
fossil,105,system,65,challenge,29
mention,105,past,65,night,29
voters,105,build,65,press,29
name,104,forward,65,russia,29
women,103,coal,64,serious,29
true,103,open,64,interest,29
politics,102,feel,64,key,29
never,102,john,64,plus,29
act,101,anything,64,miami,29
general,100,activity,63,hurricane,29
company,100,nothing,63,read,29
long,99,interest,63,tillerson,29
income,99,florida,63,example,29
presidential,99,someone,63,oppose,28
turn,99,refuse,62,cnn,28
hold,99,line,62,gas,28
save,99,remember,62,long,28
able,98,press,62,vice,28
already,98,sort,62,protection,28
begin,97,department,62,anything,28
tweet,97,across,61,front,28
days,96,challenge,61,ivanka,28
little,96,evidence,61,everybody,27
night,96,tax,61,democratic,27
life,96,matter,61,morning,27
reform,95,gas,61,generation,27
watch,95,candidate,61,past,27
candidate,95,quote,60,economic,27
bite,95,march,60,life,27
industry,95,discuss,60,thank,27
election,95,agreement,60,turn,27
share,94,less,60,wall,27
huge,94,tonight,60,case,27
justice,94,nation,60,without,26
respect,94,economic,59,city,26
college,93,reject,59,protect,26
oil,93,longer,59,wo,26
john,93,community,59,public,26
reach,93,pull,59,oil,26
conversation,93,sure,58,voters,26
whole,93,destroy,58,weeks,25
green,93,never,58,idea,25
activity,92,yet,58,humans,25
policies,92,iran,58,story,25
moment,91,die,57,group,25
win,91,contribute,57,health,25
pay,90,idea,57,reduce,25
idea,90,candidates,57,john,25
iran,90,group,57,able,25
grow,90,city,57,affect,25
increase,89,control,57,children,25
home,89,couple,57,forward,25
across,89,alaska,57,historic,25
past,89,visit,57,send,25
obviously,89,agency,57,quote,25
community,88,flood,56,department,25
commit,88,probably,56,scientific,24
hard,88,almost,56,temperatures,24
nuclear,88,dangerous,56,days,24
person,88,everybody,56,merkel,24
florida,88,base,56,reporters,24
fund,87,days,55,earlier,24
young,87,federal,55,thousands,24
wall,86,worst,55,tomorrow,24
three,86,senate,55,stop,24
reduce,85,front,55,earth,24
opportunity,85,mind,55,politics,24
social,85,always,55,perhaps,24
press,85,fund,55,care,24
okay,85,stay,55,company,24
chris,85,clear,54,role,24
biggest,85,three,54,control,24
nation,85,north,54,roll,24
case,85,earth,54,base,24
absolutely,84,name,54,administrator,24
weeks,84,claim,54,putin,24
decide,83,without,53,always,24
scientist,83,example,53,nothing,23
yesterday,83,police,53,follow,23
sea,83,hurt,53,fund,23
especially,82,argument,53,poll,23
enough,82,protect,53,nations,23
cut,82,list,53,moment,23
rest,82,suggest,53,least,23
california,81,middle,53,suggest,23
saw,80,pick,52,saw,23
greatest,80,set,52,essentially,23
line,80,leadership,52,facts,23
history,80,home,52,touch,22
program,80,industry,52,grind,22
withdraw,80,saw,52,explain,22
foreign,79,bigger,52,release,22
solution,79,order,52,agree,22
serious,79,wage,52,six,22
executive,78,efforts,51,hour,22
millions,78,ever,51,risk,22
trip,77,children,51,angela,22
almost,77,night,51,claim,21
deny,77,among,51,bite,21
hand,77,protest,51,announce,21
middle,77,wall,51,probably,21
everyone,77,drought,50,ever,21
story,77,morning,50,among,21
list,76,scientist,50,pass,21
though,76,enough,50,defend,21
second,76,thousands,50,gun,21
hour,76,reduce,50,high,21
kid,76,begin,50,conservatives,21
stop,76,moment,50,ally,21
least,76,extreme,50,chris,21
scientific,75,doubt,50,father,21
cnn,75,kid,50,business,21
discussion,75,thank,50,efforts,21
later,75,obviously,50,several,21
announce,75,coast,49,walk,21
girl,75,play,49,settle,20
someone,75,leader,49,foreign,20
elect,75,key,49,somebody,20
isis,74,watch,49,raise,20
clearly,74,absolutely,49,events,20
education,74,life,48,name,20
comment,73,battle,48,system,20
wage,72,response,48,late,20
key,72,fear,48,rest,20
grind,72,business,48,officials,20
special,72,comment,48,either,20
military,72,officials,48,close,20
hop,72,relate,48,learn,20
tackle,72,team,48,gather,20
city,72,sit,47,senate,20
folks,72,high,47,might,20
earlier,71,read,47,program,20
yet,71,cost,47,wonder,20
visit,71,long,47,extreme,19
lose,71,particularly,47,mark,19
office,71,great,46,scientist,19
nothing,71,wo,46,hard,19
behind,71,politics,46,detail,19
surprise,70,entire,46,topic,19
everybody,70,arctic,46,second,19
humans,70,especially,46,though,19
contribute,70,support,46,reaction,19
tomorrow,69,earlier,46,syria,19
quote,69,grind,45,aim,19
applause,69,pollution,45,middle,19
vice,69,whole,45,yet,19
sound,68,ban,45,line,19
scott,68,party,45,history,19
senate,68,vice,45,acknowledge,19
agency,68,disaster,44,create,19
couple,67,oppose,44,election,19
group,67,hold,44,prepare,19
children,67,others,44,ice,19
court,67,millions,44,denier,19
north,67,story,44,pick,19
remember,67,involve,44,million,19
progress,66,urgent,44,greg,19
study,66,cnn,44,worry,18
hurricane,66,person,44,else,18
single,66,movement,44,candidates,18
tillerson,66,else,43,street,18
legislation,65,role,43,sense,18
significant,65,turn,43,moral,18
probably,65,able,43,develop,18
perhaps,65,ways,43,center,18
march,65,data,43,information,18
write,64,case,43,support,18
pollution,64,information,43,nation,18
interview,64,consider,43,travel,18
somebody,64,chris,43,candidate,18
school,64,lie,42,someone,18
poll,63,exactly,42,marriage,18
appreciate,63,devastate,42,massive,18
effort,63,plant,42,result,18
approach,63,hit,42,comment,18
acknowledge,63,directly,42,absolutely,18
legacy,63,conversation,42,relate,18
rule,63,basically,42,difference,18
pick,63,difficult,42,board,18
sit,62,roll,42,present,18
flood,62,greg,42,consider,18
front,62,release,41,air,18
without,62,bite,41,trail,18
peace,62,damage,41,interview,18
regulations,62,plus,41,hurricanes,18
others,61,force,41,decide,18
event,61,though,41,federal,18
federal,61,poll,41,discussion,17
happy,61,everyone,41,presidential,17
develop,61,skeptics,41,rally,17
natural,61,weeks,41,race,17
members,61,sound,40,top,17
officials,61,humans,40,announcement,17
powerful,60,liberal,40,nuclear,17
candidates,60,office,40,legislation,17
follow,60,defend,40,return,17
less,60,presidential,40,behind,17
barack,60,inequality,40,friday,17
send,60,four,40,men,17
accept,60,europe,40,obviously,17
gun,60,hurricanes,40,heat,17
miami,60,possible,39,joe,17
coast,59,ice,39,entire,17
areas,59,conflict,39,sure,17
common,59,significant,39,family,17
plus,59,tackle,39,technology,17
ready,59,massive,39,exist,17
transition,59,block,39,others,17
minimum,58,program,39,involve,17
exactly,58,sense,39,brief,17
else,58,least,39,especially,17
regard,58,hour,39,literally,17
several,58,shoot,39,remember,17
syria,58,death,39,office,17
chance,58,must,39,small,17
statement,58,temperatures,39,immediate,17
