pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
front,62,air,18,release,41
without,62,trail,18,bite,41
peace,62,interview,18,damage,41
regulations,62,hurricanes,18,plus,41
others,61,decide,18,force,41
event,61,federal,18,though,41
federal,61,discussion,17,poll,41
happy,61,presidential,17,everyone,41
develop,61,rally,17,skeptics,41
natural,61,race,17,weeks,41
members,61,top,17,sound,40
officials,61,announcement,17,humans,40
powerful,60,nuclear,17,liberal,40
candidates,60,legislation,17,office,40
follow,60,return,17,defend,40
less,60,behind,17,presidential,40
barack,60,friday,17,inequality,40
send,60,men,17,four,40
accept,60,obviously,17,europe,40
gun,60,heat,17,hurricanes,40
miami,60,joe,17,possible,39
coast,59,entire,17,ice,39
areas,59,sure,17,conflict,39
common,59,family,17,significant,39
plus,59,technology,17,tackle,39
ready,59,exist,17,massive,39
transition,59,others,17,block,39
minimum,58,involve,17,program,39
exactly,58,brief,17,sense,39
else,58,especially,17,least,39
regard,58,literally,17,hour,39
several,58,remember,17,shoot,39
syria,58,office,17,death,39
chance,58,small,17,must,39
statement,58,immediate,17,temperatures,39
greenhouse,57,cover,16,greenhouse,39
basically,57,folks,16,minimum,39
ways,57,india,16,accept,39
certain,57,degrees,16,voters,39
reality,57,island,16,alone,39
transform,57,keystone,16,tillerson,39
roll,57,mayor,16,bush,38
marriage,56,person,16,critics,38
church,56,refugees,16,hurricane,38
opinion,56,grow,16,second,38
among,56,post,16,terrorist,38
billion,56,pollution,16,send,38
generation,56,social,16,stuff,38
infrastructure,56,plant,16,announce,38
liberal,56,majority,16,clean,38
team,56,possible,16,center,38
learn,55,basically,16,skeptic,38
putin,55,respond,16,refugees,38
historic,55,subject,16,solve,38
close,55,college,16,rest,38
force,55,areas,16,syria,37
hit,55,beyond,16,decide,37
stage,55,opinion,16,likely,37
sense,55,largest,16,link,37
europe,55,consensus,16,follow,37
events,54,attack,16,amount,37
fair,54,suppose,16,latest,37
oppose,54,clean,16,write,37
months,54,hundreds,16,democratic,37
responsible,54,recent,16,nobody,37
renewable,54,ways,16,hand,37
consider,54,young,16,discussion,37
please,54,coast,16,france,37
street,54,anyone,16,jam,37
father,54,website,16,critical,36
cost,54,regard,16,event,36
efforts,54,team,16,foreign,36
truth,54,spicer,16,college,36
millennials,54,era,16,true,36
read,53,korea,16,tucker,36
along,53,degree,16,argue,35
particularly,53,military,16,later,35
million,53,definition,16,behind,35
ivanka,53,will,15,single,35
relationship,52,statement,15,reform,35
majority,52,guess,15,law,35
involve,52,warn,15,respond,35
expand,52,force,15,attorney,35
wo,52,coverage,15,invent,35
latest,51,melt,15,perpetrate,35
pipeline,51,effort,15,difference,34
center,51,clear,15,heat,34
massive,51,kid,15,korea,34
arctic,51,five,15,tough,34
likely,51,church,15,hours,34
control,51,certainly,15,suffer,34
note,51,private,15,increase,34
century,51,stories,15,transition,34
cuba,51,potential,15,touch,34
quite,51,voice,15,despite,34
difference,51,add,15,criticize,34
possible,51,obamacare,15,east,34
supporters,51,wait,15,executive,34
cities,51,land,15,skeptical,34
super,50,exactly,15,marriage,33
ability,50,data,15,limit,33
problems,50,green,15,conservative,33
supreme,50,manmade,15,fall,33
wait,50,disagree,15,areas,33
defense,50,agencies,15,alarm,33
goal,49,research,15,manmade,33
claim,49,page,15,stance,33
subject,49,steve,15,young,33
risk,49,withdraw,15,transform,33
voice,49,wrong,15,exist,33
ally,49,tucker,15,families,33
high,49,transition,14,generations,33
dollars,49,along,14,opportunity,33
hurricanes,49,cut,14,fox,33
differences,48,half,14,acknowledge,33
ice,48,finally,14,mayor,33
six,48,everyone,14,terrorists,33
value,48,increase,14,folks,32
solve,48,democrat,14,instead,32
despite,48,eye,14,oklahoma,32
agreements,48,outside,14,green,32
conservative,48,abortion,14,yeah,32
represent,48,specific,14,trip,32
attention,47,influence,14,protesters,32
must,47,liberal,14,eye,32
jim,47,panel,14,attention,32
wealth,47,sunday,14,history,32
bush,47,host,14,charge,32
choose,47,official,14,minutes,32
post,47,attorney,14,million,32
embrace,47,chance,14,close,32
nice,47,east,14,certainly,32
specifically,47,nato,14,grow,32
protection,47,picture,14,exxon,32
largest,46,single,14,miami,32
keystone,46,wage,14,seriously,32
race,46,fire,14,class,32
manmade,46,likely,14,pass,32
extreme,46,hottest,14,administrator,32
explain,46,drought,14,abortion,31
affordable,46,throughout,14,months,31
temperatures,46,months,14,south,31
drive,46,minutes,14,decades,31
topic,46,lose,14,income,31
figure,46,bad,14,room,31
land,46,deniers,14,crazy,31
landmark,46,woman,14,pose,31
denier,46,nbc,14,better,31
result,45,relationship,13,travel,31
limit,45,hours,13,generation,31
process,45,kerry,13,putin,31
soon,45,greenhouse,13,consensus,31
minutes,45,jim,13,fake,31
will,45,battle,13,street,31
france,45,legacy,13,withdraw,31
citizens,45,latest,13,demand,30
growth,45,cap,13,conservatives,30
prize,45,topics,13,weapons,30
personal,44,strategy,13,rule,30
relate,44,charge,13,controversial,30
particular,44,range,13,aggressive,30
release,44,south,13,trouble,30
cover,44,list,13,sue,30
